목적/사유,위도,경도,grade,EMD_CD,EMD_ENG_NM,EMD_KOR_NM
절도사건,37.132047810000003,126.907021099999994,"3","41590259",Hyangnam-eup,향남읍
교통사고,37.131544640000001,126.923370100000000,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.173697760000003,126.937421499999999,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.100620169999999,126.786254400000004,"3","41590256",Ujeong-eup,우정읍
교통사고,37.085275860000003,126.822787700000006,"2","41590256",Ujeong-eup,우정읍
교통사고,37.249932100000002,126.910931000000005,"2","41590310",Maesong-myeon,매송면
교통사고,37.190771400000003,126.657041000000007,"2","41590350",Seosin-myeon,서신면
교통사고,37.207226669999997,126.983443100000002,"2","41590126",Annyeong-dong,안녕동
재물손괴,37.083873150000002,126.815088000000003,"2","41590256",Ujeong-eup,우정읍
절도사건,37.232273520000000,127.060971600000002,"3","41590120",Banwol-dong,반월동
교통사고,37.188192330000000,127.070101100000002,"2","41590127",Bansong-dong,반송동
교통사고,37.075363199999998,126.939348199999998,"2","41590400",Yanggam-myeon,양감면
교통사고,37.140172130000003,126.933695099999994,"2","41590259",Hyangnam-eup,향남읍
도로교통법위반,37.216058510000003,127.032468499999993,"2","41590116",Jinan-dong,진안동
절도사건,37.210862849999998,127.051366799999997,"3","41590117",Byeongjeom-dong,병점동
교통사고,37.204452119999999,127.073334200000005,"2","41590127",Bansong-dong,반송동
교통사고,37.201917909999999,127.059878100000006,"2","41590127",Bansong-dong,반송동
교통사고,37.081799889999999,126.816098600000004,"2","41590256",Ujeong-eup,우정읍
절도사건,37.088283879999999,126.820977400000004,"3","41590256",Ujeong-eup,우정읍
절도사건,37.129401319999999,126.914086299999994,"3","41590259",Hyangnam-eup,향남읍
교통사고,37.200059119999999,126.980962899999994,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.244784099999997,126.946319200000005,"3","41590310",Maesong-myeon,매송면
변사사건,37.206052999999997,127.103590999999994,"5","41590131",Yeongcheon-dong,영천동
사기사건,37.131846050000000,126.921453700000001,"3","41590259",Hyangnam-eup,향남읍
교통사고,37.198416000000002,127.110498000000007,"2","41590130",Cheonggye-dong,청계동
교통사고,37.112631129999997,126.898743199999998,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.185722640000002,126.938156699999993,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.213142879999999,126.737725200000000,"2","41590340",Songsan-myeon,송산면
교통사고,37.201111800000000,126.887933399999994,"2","41590320",Bibong-myeon,비봉면
교통사고,37.206416689999998,127.060022599999996,"2","41590127",Bansong-dong,반송동
재물손괴,37.205841069999998,126.774445799999995,"2","41590330",Mado-myeon,마도면
재물손괴,37.131282570000003,126.918317000000002,"2","41590259",Hyangnam-eup,향남읍
절도사건,37.190381639999998,126.973860200000004,"3","41590410",Jeongnam-myeon,정남면
도로교통법위반,37.203109200000000,127.059848000000002,"2","41590127",Bansong-dong,반송동
도로교통법위반,37.220011520000000,127.058335200000002,"2","41590118",Neung-dong,능동
도로교통법위반,37.220011520000000,127.058335200000002,"2","41590118",Neung-dong,능동
교통사고,37.082823750000003,126.818892300000002,"2","41590256",Ujeong-eup,우정읍
교통사고,37.221374369999999,126.948356300000000,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.125301729999997,126.985734899999997,"2","41590259",Hyangnam-eup,향남읍
도로교통법위반,37.209820499999999,127.057856000000001,"2","41590118",Neung-dong,능동
횡령사건,37.203206999999999,127.125568000000001,"4","41590131",Yeongcheon-dong,영천동
도로교통법위반,37.199820549999998,127.059297299999997,"2","41590118",Neung-dong,능동
교통사고,37.173697760000003,126.937421499999999,"2","41590253",Bongdam-eup,봉담읍
미귀가자,37.208860979999997,126.763111199999997,"5","41590330",Mado-myeon,마도면
교통사고,37.216226110000001,127.041119100000003,"2","41590116",Jinan-dong,진안동
